"Longitude","Latitude"
-90.181694,41.341543
-75.060833,42.469722
-93.181637,44.944205
-73.607233,45.59561
-94.122299,43.262285
-89.442822,43.233366
-92.789174,44.936756
-93.651943,42.626904
-94.460205,41.294308
-96.645837,40.687922
-95.912726,40.835978
-92.236008,41.959625
-91.53282,42.600914
-93.268574,41.557345
-71.84693,45.364344
-96.56202,40.846033
-96.263004,45.053851
-92.943822,44.827745
-96.788221,44.029722
-63.768076,46.410978
-86.775375,40.432863
-95.519325,45.533255
-93.614081,41.597637
-92.70673,41.462829
-92.827326,41.251446
-80.42215,43.422055
-69.999557,47.452282
-89.067997,41.376556
-92.536586,45.123021
-92.29969,42.276855
-98.616358,43.709566
-71.342302,46.710287
-75.908347,39.880067
-100.638895,46.624987
-83.222205,41.41157
-89.171037,42.312642
-81.879667,42.439537
-93.208104,44.38743
-73.237479,44.908713
-63.776851,46.258286
-86.737794,41.59383
-96.743263,47.030964
-93.394775,41.679962
-65.202452,45.757855
-96.580856,44.8665
-72.943604,44.89734
-89.320908,43.077245
-72.892467,45.819493
-73.988879,45.559289
-89.051549,43.697718
-95.902917,36.22453
-93.737862,44.602386
-94.328071,41.5765
-88.109612,44.591012
-74.095264,45.111257
-94.521336,44.326458
-81.235345,42.936504
-91.877022,41.76502
-88.471703,42.127586
-91.253617,43.174233
-92.08178,43.32703
-96.56329,45.457812
-95.698146,44.263831
-96.188541,40.372169
-73.230656,45.63595
-74.525955,45.233108
-93.056205,44.393855
-88.379635,42.631571
-97.89833,42.455725
-96.672001,46.920505
-93.158621,43.920837
-95.643325,39.942394
-73.296589,45.45542
-93.063878,43.187967
-93.334372,44.891555
-88.155836,42.771115
-73.227728,41.499021
-90.115673,41.202478
-88.353499,42.338227
-88.535372,42.582299
-87.85942,42.572053
-96.81382,44.660103
-79.96764,44.224498
-79.988594,43.218341
-76.130548,41.071418
-96.851095,40.736421
-93.232481,44.796088
-93.319416,44.987835
-91.205256,41.986412
-74.354729,45.139999
-65.271782,47.004723
-93.611122,42.036736
-96.063637,46.260416
-89.601042,42.262799
-92.474813,43.407663
-93.532303,43.366048
-81.861167,41.38697
-95.895231,41.177927
-94.875293,40.353719
-72.650965,42.31159
-75.22654,45.209555
-94.099806,41.228668
-72.620292,45.18798
-89.647004,43.114025
-88.908753,42.25804
-93.320952,43.63024
-73.224565,46.536121
-96.208718,46.688657
-83.005113,40.229
-96.770783,44.312745
-93.645167,43.221746
-71.03387,46.78407
-71.659962,45.482689
-79.769391,43.689494
-94.226287,42.413783
-88.860554,41.933523
-76.954015,40.18536
-75.054345,45.20003
-90.062422,42.240518
-88.555841,39.905878
-73.95711,40.793774
-92.709155,45.380608
-81.879974,43.244297
-80.582306,43.006042
-103.749224,44.352601
-82.652559,40.218452
-86.059057,41.643714
-90.363236,42.81377
-91.255654,43.977641
-66.928786,44.874733
-73.570525,44.572531
-92.779376,44.323021
-89.192297,43.247556
-91.948455,43.376172
-92.053414,43.163028
-91.427491,41.922742
-94.988453,42.257208
-73.006839,45.649647
-95.065133,41.909137
-89.322696,40.061702
-82.614031,41.418967
-73.673235,45.515268
-88.149851,44.328647
-92.849592,43.877313
